LinkId,srcNodeId,srcIntfId,dstNodeId,dstIntfId,bandwidth,linkCost
0,0,0,1,0,100,999
1,0,0,2,0,100,999
2,0,0,3,0,100,999
3,0,0,4,0,100,999
4,0,0,5,0,100,999
5,0,0,6,0,100,999
6,0,0,7,0,100,999
7,0,0,8,0,100,999
8,0,0,9,0,100,999
9,0,0,10,0,100,999
10,0,0,11,0,100,999
11,0,0,12,0,100,999
12,0,0,13,0,100,999
13,0,0,14,0,100,999
14,0,0,15,0,100,999
15,0,0,16,0,100,999
16,0,0,17,0,100,999
17,0,0,18,0,100,999
18,0,0,19,0,100,999
19,0,0,20,0,100,999
20,0,0,21,0,100,999
21,0,0,22,0,100,999
22,0,0,23,0,100,999
23,0,0,24,0,100,999
24,0,0,25,0,100,999
25,0,0,26,0,100,999
26,0,0,27,0,100,999
27,0,0,28,0,100,999
28,0,0,29,0,100,999
29,0,0,30,0,100,999
30,0,0,31,0,100,999
31,0,0,32,0,100,999
32,0,0,33,0,100,999
33,0,0,34,0,100,999
34,0,0,35,0,100,999
35,0,0,36,0,100,999
36,0,0,37,0,100,999
37,0,0,38,0,100,999
38,0,0,39,0,100,999
39,0,0,40,0,100,999
40,1,0,2,0,23,1
41,1,0,41,0,10,1
42,2,0,3,0,2,1
43,2,0,1,0,12,1
44,2,0,42,0,24,1
45,3,0,4,0,38,1
46,3,0,2,0,9,1
47,3,0,43,0,3,1
48,4,0,5,0,10,1
49,4,0,3,0,4,1
50,4,0,44,0,13,1
51,5,0,6,0,4,1
52,5,0,4,0,3,1
53,5,0,45,0,5,1
54,6,0,7,0,13,1
55,6,0,5,0,23,1
56,6,0,46,0,46,1
57,7,0,8,0,13,1
58,7,0,6,0,9,1
59,7,0,47,0,7,1
60,8,0,9,0,42,1
61,8,0,7,0,20,1
62,8,0,48,0,14,1
63,9,0,10,0,11,1
64,9,0,8,0,18,1
65,9,0,49,0,41,1
66,10,0,11,0,49,1
67,10,0,9,0,19,1
68,10,0,50,0,33,1
69,11,0,12,0,8,1
70,11,0,10,0,38,1
71,11,0,51,0,37,1
72,12,0,13,0,22,1
73,12,0,11,0,5,1
74,12,0,52,0,25,1
75,13,0,14,0,37,1
76,13,0,12,0,38,1
77,13,0,53,0,22,1
78,14,0,15,0,36,1
79,14,0,13,0,47,1
80,14,0,54,0,35,1
81,15,0,16,0,3,1
82,15,0,14,0,28,1
83,15,0,55,0,15,1
84,16,0,17,0,21,1
85,16,0,15,0,7,1
86,16,0,56,0,36,1
87,17,0,18,0,31,1
88,17,0,16,0,37,1
89,17,0,57,0,11,1
90,18,0,19,0,6,1
91,18,0,17,0,27,1
92,18,0,58,0,42,1
93,19,0,20,0,26,1
94,19,0,18,0,15,1
95,19,0,59,0,38,1
96,20,0,21,0,28,1
97,20,0,19,0,19,1
98,20,0,60,0,33,1
99,21,0,22,0,3,1
100,21,0,20,0,33,1
101,21,0,61,0,15,1
102,22,0,23,0,42,1
103,22,0,21,0,31,1
104,22,0,62,0,36,1
105,23,0,24,0,44,1
106,23,0,22,0,4,1
107,23,0,63,0,38,1
108,24,0,25,0,16,1
109,24,0,23,0,31,1
110,24,0,64,0,35,1
111,25,0,26,0,16,1
112,25,0,24,0,17,1
113,25,0,65,0,40,1
114,26,0,27,0,44,1
115,26,0,25,0,24,1
116,26,0,66,0,18,1
117,27,0,28,0,21,1
118,27,0,26,0,7,1
119,27,0,67,0,23,1
120,28,0,29,0,19,1
121,28,0,27,0,44,1
122,28,0,68,0,26,1
123,29,0,30,0,19,1
124,29,0,28,0,24,1
125,29,0,69,0,27,1
126,30,0,31,0,19,1
127,30,0,29,0,46,1
128,30,0,70,0,34,1
129,31,0,32,0,4,1
130,31,0,30,0,9,1
131,31,0,71,0,47,1
132,32,0,33,0,32,1
133,32,0,31,0,10,1
134,32,0,72,0,1,1
135,33,0,34,0,4,1
136,33,0,32,0,3,1
137,33,0,73,0,24,1
138,34,0,35,0,13,1
139,34,0,33,0,9,1
140,34,0,74,0,31,1
141,35,0,36,0,32,1
142,35,0,34,0,9,1
143,35,0,75,0,24,1
144,36,0,37,0,42,1
145,36,0,35,0,21,1
146,36,0,76,0,38,1
147,37,0,38,0,48,1
148,37,0,36,0,1,1
149,37,0,77,0,23,1
150,38,0,39,0,28,1
151,38,0,37,0,26,1
152,38,0,78,0,11,1
153,39,0,40,0,14,1
154,39,0,38,0,27,1
155,39,0,79,0,35,1
156,40,0,39,0,20,1
157,40,0,80,0,25,1
158,41,0,42,0,12,1
159,41,0,81,0,14,1
160,41,0,1,0,44,1
161,42,0,43,0,22,1
162,42,0,41,0,44,1
163,42,0,82,0,31,1
164,42,0,2,0,10,1
165,43,0,44,0,24,1
166,43,0,42,0,17,1
167,43,0,83,0,5,1
168,43,0,3,0,10,1
169,44,0,45,0,8,1
170,44,0,43,0,28,1
171,44,0,84,0,36,1
172,44,0,4,0,27,1
173,45,0,46,0,46,1
174,45,0,44,0,38,1
