LinkId,srcNodeId,srcIntfId,dstNodeId,dstIntfId,bandwidth,cost
1,0,0,1,0,36,1
2,0,0,3,0,13,3
3,0,0,8,0,42,1
4,1,0,2,0,34,1
5,1,0,3,0,21,1
6,1,0,5,0,27,2
7,1,0,7,0,47,2
8,1,0,13,0,26,2
9,2,0,3,0,36,3
10,2,0,6,0,6,2
11,2,0,7,0,45,3
12,2,0,9,0,25,1
13,2,0,10,0,24,2
14,3,0,4,0,17,3
15,3,0,8,0,11,1
16,3,0,12,0,47,1
17,4,0,6,0,32,3
18,4,0,9,0,10,1
19,4,0,15,0,35,2
20,4,0,17,0,2,1
21,5,0,12,0,3,3
22,5,0,15,0,32,3
23,5,0,16,0,39,2
24,5,0,17,0,36,2
25,6,0,11,0,4,1
26,6,0,16,0,30,3
27,7,0,8,0,26,3
28,7,0,14,0,21,3
29,7,0,16,0,19,2
30,7,0,17,0,16,1
31,10,0,11,0,42,1
32,10,0,14,0,36,2
33,11,0,15,0,29,3
34,11,0,17,0,6,2
35,12,0,14,0,26,3
36,18,0,1,0,50000000,1000000000
37,18,0,1,0,50000000,1000000000
38,18,0,0,0,50000000,1000000000
39,18,0,13,0,50000000,1000000000
40,5,0,19,0,50000000,1000000000
41,3,0,19,0,50000000,1000000000
42,4,0,19,0,50000000,1000000000
43,11,0,19,0,50000000,1000000000
