LinkId,srcNodeId,srcIntfId,dstNodeId,dstIntfId,bandwidth,cost
1,0,0,1,0,5,31
2,0,0,2,0,29,11
3,0,0,3,0,29,1
4,0,0,6,0,4,26
5,0,0,8,0,10,28
6,0,0,9,0,9,27
7,0,0,10,0,25,39
8,0,0,12,0,41,16
9,0,0,15,0,46,44
10,0,0,18,0,1,13
11,1,0,2,0,18,41
12,1,0,5,0,29,16
13,1,0,7,0,28,16
14,1,0,9,0,44,36
15,1,0,10,0,47,33
16,1,0,17,0,19,20
17,1,0,19,0,49,18
18,2,0,3,0,44,11
19,2,0,5,0,39,32
20,2,0,8,0,19,38
21,2,0,18,0,15,7
22,2,0,19,0,32,48
23,3,0,4,0,11,21
24,3,0,5,0,23,26
25,3,0,12,0,5,2
26,3,0,13,0,21,30
27,3,0,14,0,43,44
28,3,0,16,0,37,1
29,3,0,17,0,2,37
30,3,0,18,0,29,24
31,4,0,5,0,31,20
32,4,0,6,0,42,4
33,4,0,7,0,35,19
34,4,0,8,0,48,10
35,4,0,10,0,9,42
36,4,0,14,0,2,7
37,4,0,17,0,30,45
38,5,0,7,0,40,17
39,5,0,9,0,45,42
40,5,0,11,0,21,2
41,5,0,13,0,48,26
42,5,0,14,0,42,36
43,5,0,16,0,24,48
44,5,0,17,0,47,1
45,6,0,8,0,12,6
46,6,0,11,0,47,30
47,6,0,12,0,49,14
48,6,0,14,0,17,22
49,6,0,16,0,21,15
50,6,0,17,0,26,25
51,7,0,11,0,8,23
52,7,0,12,0,34,47
53,7,0,18,0,32,31
54,8,0,10,0,12,22
55,8,0,18,0,38,16
56,9,0,12,0,27,3
57,9,0,13,0,8,9
58,10,0,14,0,18,42
59,10,0,18,0,33,5
60,11,0,15,0,20,7
61,11,0,16,0,19,43
62,11,0,17,0,15,36
63,13,0,16,0,32,22
64,13,0,18,0,11,3
65,13,0,19,0,18,24
66,14,0,16,0,27,46
67,14,0,19,0,19,36
68,15,0,19,0,39,32
69,16,0,17,0,19,44
70,17,0,18,0,41,29
