LinkId,srcNodeId,srcIntfId,dstNodeId,dstIntfId,bandwidth,cost
1,0,0,1,0,44,1
2,0,0,2,0,6,1
3,0,0,3,0,35,3
4,0,0,5,0,48,1
5,0,0,11,0,17,3
6,0,0,14,0,24,3
7,0,0,15,0,45,2
8,0,0,16,0,19,1
9,1,0,2,0,20,3
10,1,0,3,0,40,3
11,1,0,4,0,11,1
12,1,0,5,0,49,2
13,1,0,7,0,32,3
14,1,0,8,0,48,1
15,1,0,11,0,9,2
16,1,0,12,0,6,3
17,1,0,13,0,14,3
18,1,0,16,0,42,2
19,1,0,17,0,25,3
20,2,0,3,0,19,1
21,2,0,6,0,28,2
22,2,0,7,0,27,3
23,2,0,11,0,33,2
24,2,0,12,0,9,1
25,2,0,13,0,44,1
26,2,0,16,0,19,1
27,3,0,6,0,47,3
28,3,0,10,0,29,3
29,3,0,11,0,16,3
30,3,0,12,0,34,2
31,3,0,13,0,18,3
32,3,0,14,0,28,3
33,3,0,15,0,12,1
34,3,0,16,0,19,1
35,3,0,17,0,39,2
36,4,0,6,0,8,2
37,4,0,7,0,6,3
38,4,0,8,0,14,1
39,4,0,9,0,13,3
40,4,0,10,0,7,2
41,4,0,12,0,46,3
42,4,0,14,0,35,2
43,4,0,16,0,47,3
44,5,0,8,0,15,3
45,5,0,9,0,44,3
46,5,0,10,0,46,1
47,5,0,12,0,16,2
48,5,0,14,0,9,3
49,5,0,15,0,2,1
50,5,0,16,0,20,3
51,5,0,17,0,11,3
52,6,0,7,0,34,1
53,6,0,8,0,19,3
54,6,0,10,0,31,3
55,6,0,11,0,39,1
56,6,0,13,0,7,2
57,6,0,14,0,3,3
58,6,0,17,0,42,1
59,7,0,8,0,26,3
60,7,0,9,0,40,2
61,7,0,10,0,12,2
62,7,0,12,0,24,3
63,7,0,14,0,4,2
64,7,0,15,0,10,3
65,7,0,16,0,4,1
66,7,0,17,0,37,1
67,8,0,9,0,20,1
68,8,0,10,0,23,1
69,8,0,11,0,8,1
70,8,0,12,0,25,3
71,8,0,13,0,2,2
72,8,0,17,0,27,1
73,9,0,10,0,16,3
74,9,0,11,0,29,3
75,9,0,12,0,36,1
76,9,0,14,0,6,1
77,9,0,15,0,43,2
78,9,0,16,0,42,1
79,9,0,17,0,24,1
80,10,0,11,0,43,2
81,10,0,13,0,22,1
82,10,0,14,0,21,1
83,11,0,12,0,17,2
84,11,0,13,0,24,3
85,11,0,14,0,49,3
86,11,0,16,0,14,1
87,12,0,13,0,14,1
88,12,0,14,0,25,3
89,12,0,15,0,12,2
90,12,0,17,0,38,3
91,13,0,14,0,31,3
92,13,0,16,0,19,2
93,14,0,15,0,14,2
94,14,0,16,0,12,1
95,15,0,16,0,16,3
96,16,0,17,0,15,3
97,18,0,10,0,100,100
98,18,0,4,0,100,100
99,18,0,13,0,100,100
100,18,0,1,0,100,100
101,3,0,19,0,100,100
102,11,0,19,0,100,100
103,12,0,19,0,100,100
104,7,0,19,0,100,100
